"typeID";"groupID";"typeName";"description";"graphicID";"radius";"mass";"volume";"capacity";"portionSize";"raceID";"basePrice";"published";"marketGroupID";"chanceOfDuplicating"
"8.631";"41";"Micro Asymmetric Barrier Transpositioner I";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"2,50";"0,00";"1";"8";"14.528,00";"false";"604";"0,07"
"8.633";"41";"Micro S95a Partial Shield Transporter";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"2,50";"0,00";"1";"1";"14.528,00";"false";"604";"0,07"
"8.635";"41";"Large Murky Shield Screen Transmitter I";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"25,00";"0,00";"1";"2";"575.820,00";"false";"601";"0,07"
"8.637";"41";"Large 'Atonement' I Ward Projector";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"25,00";"0,00";"1";"4";"575.820,00";"false";"601";"0,07"
"8.639";"41";"Large Asymmetric Barrier Transpositioner I";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"25,00";"0,00";"1";"8";"575.820,00";"false";"601";"0,07"
"8.641";"41";"Large S95a Partial Shield Transporter";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"25,00";"0,00";"1";"1";"575.820,00";"false";"601";"0,07"
"8.683";"41";"XLarge Murky Shield Screen Transmitter I";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"50,00";"0,00";"1";"2";"575.820,00";"false";"";"0,07"
"8.685";"41";"XLarge 'Atonement' I Ward Projector";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"50,00";"0,00";"1";"4";"575.820,00";"false";"";"0,07"
"8.687";"41";"XLarge Asymmetric Barrier Transpositioner I";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"50,00";"0,00";"1";"8";"575.820,00";"false";"";"0,07"
"8.689";"41";"XLarge S95a Partial Shield Transporter";"Transfers shield power over to the target ship, aiding in its defense.";"86";"0,00";"0,00";"50,00";"0,00";"1";"1";"575.820,00";"false";"";"0,07"
"8.743";"285";"Nanomechanical CPU Enhancer";"Increases CPU output.";"1.405";"0,00";"0,00";"5,00";"0,00";"1";"2";"0,00";"false";"676";"0,07"
"8.744";"285";"Nanoelectrical Co-Processor";"Increases CPU output.";"1.405";"0,00";"0,00";"5,00";"0,00";"1";"4";"0,00";"false";"676";"0,07"
"8.745";"285";"Photonic CPU Enhancer";"Increases CPU output.";"1.405";"0,00";"0,00";"5,00";"0,00";"1";"8";"0,00";"false";"676";"0,07"
"8.746";"285";"Quantum Co-Processor";"Increases CPU output.";"1.405";"0,00";"0,00";"5,00";"0,00";"1";"1";"0,00";"false";"676";"0,07"
"8.747";"285";"Nanomechanical CPU Enhancer I";"Increases CPU output.";"1.405";"0,00";"0,00";"5,00";"0,00";"1";"2";"0,00";"false";"676";"0,07"
"8.748";"285";"Nanoelectrical Co-Processor I";"Increases CPU output.";"1.405";"0,00";"0,00";"5,00";"0,00";"1";"4";"0,00";"false";"676";"0,07"
"8.749";"285";"Photonic CPU Enhancer I";"Increases CPU output.";"1.405";"0,00";"0,00";"5,00";"0,00";"1";"8";"0,00";"false";"676";"0,07"
"8.750";"285";"Quantum Co-Processor I";"Increases CPU output.";"1.405";"0,00";"0,00";"5,00";"0,00";"1";"1";"0,00";"false";"676";"0,07"
"8.759";"55";"125mm Light 'Scout' Autocannon I";"This multi-barrel autocannon is designed for skirmish warfare. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"393";"2.000,00";"750,00";"5,00";"1,00";"1";"2";"0,00";"false";"574";"0,07"
"8.785";"55";"125mm Light Carbine Repeating Cannon I";"This multi-barrel autocannon is designed for skirmish warfare. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"393";"2.000,00";"750,00";"5,00";"1,00";"1";"4";"0,00";"false";"574";"0,07"
"8.787";"55";"125mm Light Gallium I Machine Gun";"This multi-barrel autocannon is designed for skirmish warfare. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"393";"2.000,00";"750,00";"5,00";"1,00";"1";"8";"0,00";"false";"574";"0,07"
"8.789";"55";"125mm Light Prototype I Automatic Cannon";"This multi-barrel autocannon is designed for skirmish warfare. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"393";"2.000,00";"750,00";"5,00";"1,00";"1";"1";"0,00";"false";"574";"0,07"
"8.815";"55";"150mm Light 'Scout' Autocannon I";"A simple but effective close combat autocannon. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"392";"20,00";"20,00";"5,00";"0,80";"1";"2";"0,00";"false";"574";"0,07"
"8.817";"55";"150mm Light Carbine Repeating Cannon I";"A simple but effective close combat autocannon. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"392";"20,00";"20,00";"5,00";"0,80";"1";"4";"0,00";"false";"574";"0,07"
"8.819";"55";"150mm Light Gallium I Machine Gun";"A simple but effective close combat autocannon. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"392";"20,00";"20,00";"5,00";"0,80";"1";"8";"0,00";"false";"574";"0,07"
"8.821";"55";"150mm Light Prototype I Automatic Cannon";"A simple but effective close combat autocannon. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"392";"20,00";"20,00";"5,00";"0,80";"1";"1";"0,00";"false";"574";"0,07"
"8.863";"55";"200mm Light 'Scout' Autocannon I";"A powerful autocannon that can smash apart most lightly armored frigates with ease. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"391";"20,00";"15,00";"5,00";"0,40";"1";"2";"0,00";"false";"574";"0,07"
"8.865";"55";"200mm Light Carbine Repeating Cannon I";"A powerful autocannon that can smash apart most lightly armored frigates with ease. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"391";"20,00";"15,00";"5,00";"0,40";"1";"4";"0,00";"false";"574";"0,07"
"8.867";"55";"200mm Light Gallium I Machine Gun";"A powerful autocannon that can smash apart most lightly armored frigates with ease. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"391";"20,00";"15,00";"5,00";"0,40";"1";"8";"0,00";"false";"574";"0,07"
"8.869";"55";"200mm Light Prototype I Automatic Cannon";"A powerful autocannon that can smash apart most lightly armored frigates with ease. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"391";"20,00";"15,00";"5,00";"0,40";"1";"1";"0,00";"false";"574";"0,07"
"8.903";"55";"250mm Light 'Scout' Artillery I";"This artillery is one of the most powerful weapons that can be mounted on a frigate. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"390";"20,00";"4,00";"5,00";"0,20";"1";"2";"0,00";"false";"577";"0,07"
"8.905";"55";"250mm Light Carbine Howitzer I";"This artillery is one of the most powerful weapons that can be mounted on a frigate. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"390";"20,00";"4,00";"5,00";"0,20";"1";"4";"0,00";"false";"577";"0,07"
"8.907";"55";"250mm Light Gallium I Cannon";"This artillery is one of the most powerful weapons that can be mounted on a frigate. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"390";"20,00";"4,00";"5,00";"0,20";"1";"8";"0,00";"false";"577";"0,07"
"8.909";"55";"250mm Light Prototype I Siege Cannon";"This artillery is one of the most powerful weapons that can be mounted on a frigate. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"390";"20,00";"4,00";"5,00";"0,20";"1";"1";"0,00";"false";"577";"0,07"
"9.071";"55";"Dual 180mm 'Scout' Autocannon I";"This autocannon is a simple but effective close combat weapon. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"388";"2.000,00";"1.250,00";"10,00";"5,00";"1";"2";"0,00";"false";"575";"0,07"
"9.073";"55";"Dual 180mm Carbine Repeating Cannon I";"This autocannon is a simple but effective close combat weapon. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"388";"2.000,00";"1.250,00";"10,00";"5,00";"1";"4";"0,00";"false";"575";"0,07"
"9.091";"55";"Dual 180mm Gallium I Machine Gun";"This autocannon is a simple but effective close combat weapon. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"388";"2.000,00";"1.250,00";"10,00";"5,00";"1";"8";"0,00";"false";"575";"0,07"
"9.093";"55";"Dual 180mm Prototype I Automatic Cannon";"This autocannon is a simple but effective close combat weapon. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"388";"2.000,00";"1.250,00";"10,00";"5,00";"1";"1";"0,00";"false";"575";"0,07"
"9.127";"55";"220mm Medium 'Scout' Autocannon I";"This autocannon is designed for skirmish warfare. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"386";"20,00";"12,00";"10,00";"4,00";"1";"2";"0,00";"false";"575";"0,07"
"9.129";"55";"220mm Medium Carbine Repeating Cannon I";"This autocannon is designed for skirmish warfare. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"386";"20,00";"12,00";"10,00";"4,00";"1";"4";"0,00";"false";"575";"0,07"
"9.131";"55";"220mm Medium Gallium I Machine Gun";"This autocannon is designed for skirmish warfare. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"386";"20,00";"12,00";"10,00";"4,00";"1";"8";"0,00";"false";"575";"0,07"
"9.133";"55";"220mm Medium Prototype I Automatic Cannon";"This autocannon is designed for skirmish warfare. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"386";"20,00";"12,00";"10,00";"4,00";"1";"1";"0,00";"false";"575";"0,07"
"9.135";"55";"425mm Medium 'Scout' Autocannon I";"The 425mm is a behemoth that will inflict severe damage on most cruisers and frigates in short-range battles. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"386";"20,00";"8,00";"10,00";"2,00";"1";"2";"0,00";"false";"575";"0,07"
"9.137";"55";"425mm Medium Carbine Repeating Cannon I";"The 425mm is a behemoth that will inflict severe damage on most cruisers and frigates in short-range battles. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"386";"20,00";"8,00";"10,00";"2,00";"1";"4";"0,00";"false";"575";"0,07"
"9.139";"55";"425mm Medium Gallium I Machine Gun";"The 425mm is a behemoth that will inflict severe damage on most cruisers and frigates in short-range battles. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"386";"20,00";"8,00";"10,00";"2,00";"1";"8";"0,00";"false";"575";"0,07"
"9.141";"55";"425mm Medium Prototype I Automatic Cannon";"The 425mm is a behemoth that will inflict severe damage on most cruisers and frigates in short-range battles. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"386";"20,00";"8,00";"10,00";"2,00";"1";"1";"0,00";"false";"575";"0,07"
"9.207";"55";"650mm Medium 'Scout' Artillery I";"A powerful long-range artillery. One of the most damaging weapons mountable on a cruiser. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"385";"200,00";"125,00";"10,00";"1,00";"1";"2";"0,00";"false";"578";"0,07"
"9.209";"55";"650mm Medium Carbine Howitzer I";"A powerful long-range artillery. One of the most damaging weapons mountable on a cruiser. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"385";"200,00";"125,00";"10,00";"1,00";"1";"4";"0,00";"false";"578";"0,07"
"9.211";"55";"650mm Medium Gallium I Cannon";"A powerful long-range artillery. One of the most damaging weapons mountable on a cruiser. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"385";"200,00";"125,00";"10,00";"1,00";"1";"8";"0,00";"false";"578";"0,07"
"9.213";"55";"650mm Medium Prototype I Siege Cannon";"A powerful long-range artillery. One of the most damaging weapons mountable on a cruiser. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"385";"200,00";"125,00";"10,00";"1,00";"1";"1";"0,00";"false";"578";"0,07"
"9.247";"55";"Dual 425mm 'Scout' Autocannon I";"Combines the damage output of two 425mm long-range cannons. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"383";"200,00";"200,00";"20,00";"10,00";"1";"2";"0,00";"false";"576";"0,07"
"9.249";"55";"Dual 425mm Carbine Repeating Cannon I";"Combines the damage output of two 425mm long-range cannons. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"383";"200,00";"200,00";"20,00";"10,00";"1";"4";"0,00";"false";"576";"0,07"
"9.251";"55";"Dual 425mm Gallium I Machine Gun";"Combines the damage output of two 425mm long-range cannons. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"383";"200,00";"200,00";"20,00";"10,00";"1";"8";"0,00";"false";"576";"0,07"
"9.253";"55";"Dual 425mm Prototype I Automatic Cannon";"Combines the damage output of two 425mm long-range cannons. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"383";"200,00";"200,00";"20,00";"10,00";"1";"1";"0,00";"false";"576";"0,07"
"9.287";"55";"Dual 650mm 'Scout' Repeating Artillery I";"Powerful, long-range artillery cannon with a decent rate of fire. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"382";"2.000,00";"2.000,00";"20,00";"8,00";"1";"2";"0,00";"false";"576";"0,07"
"9.289";"55";"Dual 650mm Carbine Repeating Howitzer I";"Powerful, long-range artillery cannon with a decent rate of fire. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"382";"2.000,00";"2.000,00";"20,00";"8,00";"1";"4";"0,00";"false";"576";"0,07"
"9.291";"55";"Dual 650mm Gallium I Repeating Cannon";"Powerful, long-range artillery cannon with a decent rate of fire. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"382";"2.000,00";"2.000,00";"20,00";"8,00";"1";"8";"0,00";"false";"576";"0,07"
"9.293";"55";"Dual 650mm Prototype I Repeating Siege Cannon";"Powerful, long-range artillery cannon with a decent rate of fire. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"382";"2.000,00";"2.000,00";"20,00";"8,00";"1";"1";"0,00";"false";"576";"0,07"
"9.327";"55";"800mm Heavy 'Scout' Repeating Artillery I";"Artillery cannon capable of causing tremendous damage. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"381";"200,00";"75,00";"20,00";"4,00";"1";"2";"0,00";"false";"576";"0,07"
"9.329";"55";"800mm Heavy Carbine Repeating Howitzer I";"Artillery cannon capable of causing tremendous damage. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"381";"200,00";"75,00";"20,00";"4,00";"1";"4";"0,00";"false";"576";"0,07"
"9.331";"55";"800mm Heavy Gallium I Repeating Cannon";"Artillery cannon capable of causing tremendous damage. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"381";"200,00";"75,00";"20,00";"4,00";"1";"8";"0,00";"false";"576";"0,07"
"9.333";"55";"800mm Heavy Prototype I Repeating Siege Cannon";"Artillery cannon capable of causing tremendous damage. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"381";"200,00";"75,00";"20,00";"4,00";"1";"1";"0,00";"false";"576";"0,07"
"9.367";"55";"1200mm Heavy 'Scout' Artillery I";"One of the most powerful projectile cannons a battleship can equip. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"380";"2.000,00";"750,00";"20,00";"2,00";"1";"2";"0,00";"false";"579";"0,07"
"9.369";"55";"1200mm Heavy Carbine Howitzer I";"One of the most powerful projectile cannons a battleship can equip. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"380";"2.000,00";"750,00";"20,00";"2,00";"1";"4";"0,00";"false";"579";"0,07"
"9.371";"55";"1200mm Heavy Gallium I Cannon";"One of the most powerful projectile cannons a battleship can equip. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"380";"2.000,00";"750,00";"20,00";"2,00";"1";"8";"0,00";"false";"579";"0,07"
"9.373";"55";"1200mm Heavy Prototype I Artillery";"One of the most powerful projectile cannons a battleship can equip. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"380";"2.000,00";"750,00";"20,00";"2,00";"1";"1";"0,00";"false";"579";"0,07"
"9.377";"55";"1200mm Heavy Prototype I Siege Cannon";"One of the most powerful projectile cannons a battleship can equip. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"380";"2.000,00";"750,00";"20,00";"2,00";"1";"1";"0,00";"false";"579";"0,07"
"9.411";"55";"280mm 'Scout' Artillery I";"Rocket-assisted artillery projectiles designed for longe-range combat. It is the most powerful projectile weapon able to be fitted onto frigates. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"390";"20,00";"5,00";"5,00";"0,10";"1";"2";"0,00";"false";"577";"0,07"
"9.413";"55";"280mm Carbine Howitzer I";"Rocket-assisted artillery projectiles designed for longe-range combat. It is the most powerful projectile weapon able to be fitted onto frigates. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"390";"20,00";"5,00";"5,00";"0,10";"1";"4";"0,00";"false";"577";"0,07"
"9.415";"55";"280mm Gallium I Cannon";"Rocket-assisted artillery projectiles designed for longe-range combat. It is the most powerful projectile weapon able to be fitted onto frigates. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"390";"20,00";"5,00";"5,00";"0,10";"1";"8";"0,00";"false";"577";"0,07"
"9.417";"55";"280mm Prototype I Siege Cannon";"Rocket-assisted artillery projectiles designed for longe-range combat. It is the most powerful projectile weapon able to be fitted onto frigates. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"390";"20,00";"5,00";"5,00";"0,10";"1";"1";"0,00";"false";"577";"0,07"
"9.419";"55";"720mm 'Probe' Artillery II";"Not supposed to be here...";"2.286";"200,00";"50,00";"10,00";"0,50";"1";"2";"0,00";"false";"";"0,06"
"9.421";"55";"720mm Cordite Howitzer II";"You don't see this...";"2.286";"200,00";"50,00";"10,00";"0,50";"1";"4";"0,00";"false";"";"0,06"
"9.451";"55";"720mm 'Scout' Artillery I";"This rocket-assisted howitzer is designed for long-range bombardment. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"385";"200,00";"50,00";"10,00";"0,50";"1";"2";"0,00";"false";"578";"0,07"
"9.453";"55";"720mm Carbine Howitzer I";"This rocket-assisted howitzer is designed for long-range bombardment. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"385";"200,00";"50,00";"10,00";"0,50";"1";"4";"0,00";"false";"578";"0,07"
"9.455";"55";"720mm Gallium I Cannon";"This rocket-assisted howitzer is designed for long-range bombardment. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"385";"200,00";"50,00";"10,00";"0,50";"1";"8";"0,00";"false";"578";"0,07"
"9.457";"55";"720mm Prototype I Siege Cannon";"This rocket-assisted howitzer is designed for long-range bombardment. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"385";"200,00";"50,00";"10,00";"0,50";"1";"1";"0,00";"false";"578";"0,07"
"9.491";"55";"1400mm 'Scout' Artillery I";"The ultimate artillery cannon. It hurls death and destruction over incredible distances. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"379";"2.000,00";"1.500,00";"20,00";"1,00";"1";"2";"0,00";"false";"579";"0,07"
"9.493";"55";"1400mm Carbine Howitzer I";"The ultimate artillery cannon. It hurls death and destruction over incredible distances. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"379";"2.000,00";"1.500,00";"20,00";"1,00";"1";"4";"0,00";"false";"579";"0,07"
"9.495";"55";"1400mm Gallium I Cannon";"The ultimate artillery cannon. It hurls death and destruction over incredible distances. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"379";"2.000,00";"1.500,00";"20,00";"1,00";"1";"8";"0,00";"false";"579";"0,07"
"9.497";"55";"1400mm Prototype I Siege Cannon";"The ultimate artillery cannon. It hurls death and destruction over incredible distances. Must be loaded with any of the following projectile ammo types: carbonized lead, depleted uranium, EMP, fusion, nuclear, phased plasma, photon, or titanium sabot.";"379";"2.000,00";"1.500,00";"20,00";"1,00";"1";"1";"0,00";"false";"579";"0,07"
"9.518";"201";"Initiated Ion Field ECM I";"Projects a low intensity field of ionized particles to disrupt the effectiveness of enemy sensors. Very effective against Magneometric based sensors.";"110";"0,00";"0,00";"5,00";"0,00";"1";"8";"4.960,00";"false";"715";"0,07"
"9.519";"201";"FZ-3 Subversive Spatial Destabilizer ECM";"Projects random bursts of gravitons that disrupt accurate targeting. As expected this system works best against Gravimetric targeting systems.";"110";"0,00";"0,00";"5,00";"0,00";"1";"1";"4.960,00";"false";"717";"0,07"
"9.520";"201";"'Penumbra' I White Noise ECM";"Disrupts enemy targeting by generating a field of random sensor noise. Works especially well against Radar systems.";"110";"0,00";"0,00";"5,00";"0,00";"1";"2";"4.960,00";"false";"718";"0,07"
"9.521";"201";"Initiated Multispectral ECM I";"An advanced multipurpose jamming system designed to offer blanket protection against all forms of targeting. Not as effective as the more specialized systems but is still effective against less advanced targeting systems.";"110";"0,00";"0,00";"5,00";"0,00";"1";"8";"14.848,00";"false";"719";"0,07"
"9.522";"201";"Faint Phase Inversion ECM I";"Analyzes incoming targeting signals and attempts to counter them by emitting an out-of-phase signal back. Great against Ladar targeting systems.";"110";"0,00";"0,00";"5,00";"0,00";"1";"4";"4.960,00";"false";"716";"0,07"
"9.523";"201";"Languid Phase Inversion ECM II";"Analyzes incoming targeting signals and attempts to counter them by emitting an out-of-phase signal back. Great against Laser targeting systems.";"110";"0,00";"0,00";"5,00";"0,00";"1";"4";"4.960,00";"false";"";"0,06"
"9.556";"295";"Ancillary Ballistic Screen Stabilizer I";"Boosts the explosive resistance of the shield. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.";"1.039";"0,00";"0,00";"5,00";"0,00";"1";"2";"0,00";"false";"550";"0,07"
"9.562";"295";"Azeotropic EM Ward Salubrity";"Boosts the EM resistance of the shield. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.";"1.039";"0,00";"0,00";"5,00";"0,00";"1";"4";"0,00";"false";"550";"0,07"
"9.566";"295";"Supplemental Thermal Barrier Emitter";"Boosts the thermal resistance of the shield. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.";"1.039";"0,00";"0,00";"5,00";"0,00";"1";"8";"0,00";"false";"550";"0,07"
"9.568";"295";"Additional Thermal Barrier Emitter I";"Boosts the thermal resistance of the shield. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.";"1.039";"0,00";"0,00";"5,00";"0,00";"1";"8";"0,00";"false";"550";"0,07"
"9.570";"295";"F-S9 Regolith Deflection Shield Induction";"Boosts the kinetic resistance of the shield. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.";"1.039";"0,00";"0,00";"5,00";"0,00";"1";"1";"0,00";"false";"550";"0,07"
"9.574";"295";"Subordinate Ballistic Screen Stabilizer";"Boosts the explosive resistance of the shield. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.";"1.039";"0,00";"0,00";"5,00";"0,00";"1";"2";"0,00";"false";"550";"0,07"
"9.580";"295";"Viscoelastic EM Ward Salubrity I";"Boosts the EM resistance of the shield. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.";"1.039";"0,00";"0,00";"5,00";"0,00";"1";"4";"0,00";"false";"550";"0,07"
"9.582";"295";"F-S8 Relativistic Deflection Shield Induction";"Boosts the kinetic resistance of the shield. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.";"1.039";"0,00";"0,00";"5,00";"0,00";"1";"1";"0,00";"false";"550";"0,07"
"9.608";"77";"Non-Inertial Ballistic Screen Augmentation I";"Boosts shield resistance against kinetic damage.";"1.045";"0,00";"10.000,00";"5,00";"0,00";"1";"2";"0,00";"false";"553";"0,07"
"9.622";"77";"'Anointed' I EM Ward Reinforcement";"Boosts shield resistance against EM damage.";"1.045";"0,00";"10.000,00";"5,00";"0,00";"1";"4";"0,00";"false";"553";"0,07"
